lu_code,lu_color_HEX
0,#FFFFCCFF
1,#FFFDC9FF
2,#FFFCC5FF
3,#FFFBC2FF
4,#FFF9BEFF
5,#FFF8BBFF
6,#FFF6B7FF
7,#FFF5B4FF
8,#FFF3B0FF
9,#FFF2ACFF
10,#FFF0A9FF
11,#FFEFA5FF
12,#FFEEA2FF
13,#FEEC9EFF
14,#FEEB9BFF
15,#FEE997FF
16,#FEE795FF
17,#FEE691FF
18,#FEE48DFF
19,#FEE28AFF
20,#FEE186FF
21,#FEDF84FF
22,#FEDD80FF
23,#FEDC7DFF
24,#FEDA79FF
25,#FED875FF
26,#FED673FF
27,#FED26FFF
28,#FED06CFF
29,#FECC68FF
30,#FECA65FF
31,#FEC661FF
32,#FEC35FFF
33,#FEC05BFF
34,#FEBC57FF
35,#FEBA54FF
36,#FEB650FF
37,#FEB34EFF
38,#FDB04BFF
39,#FDAE4AFF
40,#FDAA48FF
41,#FDA847FF
42,#FDA446FF
43,#FDA144FF
44,#FD9E43FF
45,#FD9B42FF
46,#FD9941FF
47,#FD953FFF
48,#FD933EFF
49,#FD8F3DFF
50,#FC8C3BFF
51,#FC883AFF
52,#FC8238FF
53,#FC7E37FF
54,#FC7836FF
55,#FC7434FF
56,#FC6E33FF
57,#FC6A32FF
58,#FC6430FF
59,#FC5E2EFF
60,#FC5A2DFF
61,#FC542BFF
62,#FC502AFF
63,#FA4B29FF
64,#F94828FF
65,#F64327FF
66,#F53F26FF
67,#F23B24FF
68,#F03623FF
69,#EE3222FF
70,#EC2D21FF
71,#EB2A20FF
72,#E8251FFF
73,#E7221EFF
74,#E41D1CFF
75,#E2191CFF
76,#DF171CFF
77,#DC151DFF
78,#D9131EFF
79,#D6111FFF
80,#D30F20FF
81,#D00D20FF
82,#CD0B21FF
83,#CA0922FF
84,#C60623FF
85,#C40424FF
86,#C00225FF
87,#BE0025FF
88,#B90026FF
89,#B50026FF
90,#AF0026FF
91,#AC0026FF
92,#A60026FF
93,#A00026FF
94,#9C0026FF
95,#960026FF
96,#930026FF
97,#8D0026FF
98,#890026FF
99,#830026FF
100,#800026FF
-100,#E1E1E1FF
