Commodity,"Prod_base_year (tonnes, KL)","Prod_targ_year (tonnes, KL)","Demand (tonnes, KL)","Abs_diff (tonnes, KL)",Prop_diff (%)
apples,262358.1408691406,392479.0045434392,392479.00454343914,5.820766091346741e-11,100.00000000000003
beef lexp,308146.8734380829,423929.2121176051,423929.2121176051,0.0,100.0
beef meat,2655505.775032075,2873533.766380906,2873533.766380906,0.0,100.0
citrus,554817.6450195312,668143.1751310177,668143.1751310177,0.0,100.0
cotton,1022519.825340271,1116452.696995852,1116452.696995852,0.0,100.0
dairy,10225136.900521278,14848756.847325286,14848756.847325286,0.0,100.0
grapes,2159898.4960021973,2694918.368473896,2694918.3684738963,-4.656612873077393e-10,99.99999999999997
hay,8118464.455224991,10881717.540399887,10881717.540399887,0.0,100.0
nuts,121049.25821685791,140681.0174988052,140681.0174988052,0.0,100.0
other non-cereal crops,735321.2478599548,1022995.1172700349,1022995.1172700349,0.0,100.0
pears,141845.4732055664,142233.4370889105,142233.4370889105,0.0,100.0
plantation fruit,415337.54013061523,600965.8760747996,600965.8760747996,0.0,100.0
rice,794599.7391662598,889437.1958996258,889437.1958996258,0.0,100.0
sheep lexp,148695.75967582804,175227.47615062832,175227.47615062832,0.0,100.0
sheep meat,719419.2316066325,1550756.3971798283,1059917.984829042,490838.41235078615,146.3090936635022
sheep wool,411743.9744658759,594942.383532743,594942.383532743,0.0,100.0
stone fruit,242530.00561523438,290378.6402853119,290378.6402853119,0.0,100.0
sugar,46073064.58728027,65697380.10922109,65697380.10922109,0.0,100.0
summer cereals,2286953.9557418823,3336704.979656521,3336704.9796565208,4.656612873077393e-10,100.00000000000003
summer legumes,138253.70009231567,155306.66209948302,155306.66209948302,0.0,100.0
summer oilseeds,48330.58106613159,64131.21210994681,64131.21210994682,-7.275957614183426e-12,99.99999999999999
tropical stone fruit,107851.87041473389,125791.47994195265,125791.47994195265,0.0,100.0
vegetables,4661214.228027344,5755883.823404655,5755883.823404655,0.0,100.0
winter cereals,41187480.98516464,50414709.43648655,50414709.43648654,7.450580596923828e-09,100.00000000000003
winter legumes,3110257.7492218018,3192955.8164921673,3192955.8164921673,0.0,100.0
winter oilseeds,2823592.739848137,3868125.180526029,3868125.180526029,0.0,100.0
